Name,ISO Alpha-3,Demonym,pwa_demonyms,pwa_alt_demonyms,live_heats_nationality,live_heats_alt_nationality
Afghanistan,AFG,Afghan,,,,
Albania,ALB,Albanian,,,,
Algeria,DZA,Algerian,,,,
Andorra,AND,Andorran,Andorran,,,
Angola,AGO,Angolan,,,,
Antigua and Barbuda,ATG,Antiguan,,,,
Argentina,ARG,Argentine,Argentinian,,Argentina,
Armenia,ARM,Armenian,,,,
Australia,AUS,Australian,Australian,,Australia,
Austria,AUT,Austrian,Austrian,,,
Azerbaijan,AZE,Azerbaijani,,,,
Bahamas,BHS,Bahamian,,,,
Bahrain,BHR,Bahraini,,,,
Bangladesh,BGD,Bangladeshi,,,,
Barbados,BRB,Barbadian,Barbadian,,Barbados,
Belarus,BLR,Belarusian,,,,
Belgium,BEL,Belgian,Belgian,,Belgium,
Belize,BLZ,Belizean,,,,
Benin,BEN,Beninese,,,,
Bhutan,BTN,Bhutanese,,,,
Bolivia,BOL,Bolivian,,,,
Bosnia and Herzegovina,BIH,Bosnian/Herzegovinian,,,,
Botswana,BWA,Botswanan,,,,
Brazil,BRA,Brazilian,Brazilian,,Brazil,
Brunei,BRN,Bruneian,,,,
Bulgaria,BGR,Bulgarian,Bulgarian,,,
Burkina Faso,BFA,Burkinabe,,,,
Burundi,BDI,Burundian,,,,
Cabo Verde,CPV,Cape Verdean,,,,
Cambodia,KHM,Cambodian,,,,
Cameroon,CMR,Cameroonian,,,,
Canada,CAN,Canadian,Canadian,,Canada,
Central African Republic,CAF,Central African,,,,
Chad,TCD,Chadian,,,,
Chile,CHL,Chilean,Chilean,,Chile,
China,CHN,Chinese,,,,
Colombia,COL,Colombian,Colombia,,,
Comoros,COM,Comoran,,,,
Congo,COG,Congolese,,,,
Congo (Democratic Republic),COD,Congolese,,,,
Costa Rica,CRI,Costa Rican,,,,
Croatia,HRV,Croatian,Croatian,,,
Cuba,CUB,Cuban,,,,
Cyprus,CYP,Cypriot,Cypriot,,Cyprus,
Czechia,CZE,Czech,Czech Republic,Czechoslovakian,Czech Republic,
Denmark,DNK,Danish,Danish,,Denmark,
Djibouti,DJI,Djiboutian,,,,
Dominica,DMA,Dominican,,,,
Dominican Republic,DOM,Dominican,,,,
Ecuador,ECU,Ecuadorian,,,,
Egypt,EGY,Egyptian,,,,
El Salvador,SLV,Salvadoran,,,,
Equatorial Guinea,GNQ,Equatorial Guinean,,,,
Eritrea,ERI,Eritrean,,,,
Estonia,EST,Estonian,Estonian,,,
Eswatini,SWZ,Swazi,,,,
Ethiopia,ETH,Ethiopian,,,,
Fiji,FJI,Fijian,Fijian,,,
Finland,FIN,Finnish,Finnish,,,
France,FRA,French,French,,France,
Gabon,GAB,Gabonese,,,,
Gambia,GMB,Gambian,,,,
Georgia,GEO,Georgian,,,,
Germany,DEU,German,German,,Germany,
Ghana,GHA,Ghanaian,,,,
Greece,GRC,Greek,Greek,,Greece,
Grenada,GRD,Grenadian,,,,
Guatemala,GTM,Guatemalan,,,,
Guinea,GIN,Guinean,,,,
Guinea-Bissau,GNB,Bissau-Guinean,,,,
Guyana,GUY,Guyanese,,,,
Haiti,HTI,Haitian,,,,
Honduras,HND,Honduran,,,,
Hungary,HUN,Hungarian,Hungarian,,,
Iceland,ISL,Icelander,,,,
India,IND,Indian,Indian,,,
Indonesia,IDN,Indonesian,,,,
Iran,IRN,Iranian,,,,
Iraq,IRQ,Iraqi,,,,
Ireland,IRL,Irish,Irish,,Ireland,
Israel,ISR,Israeli,Israeli,,Israel,
Italy,ITA,Italian,Italian,,Italy,
Jamaica,JAM,Jamaican,,,,
Japan,JPN,Japanese,Japanese,,Japan,
Jordan,JOR,Jordanian,,,,
Kazakhstan,KAZ,Kazakhstani,,,,
Kenya,KEN,Kenyan,Kenyan,,,
Kiribati,KIR,Kiribati,,,,
Kosovo,XKX,Kosovar,,,,
Kuwait,KWT,Kuwaiti,,,,
Kyrgyzstan,KGZ,Kyrgyzstani,,,,
Laos,LAO,Laotian,,,,
Latvia,LVA,Latvian,,,Latvia,
Lebanon,LBN,Lebanese,,,,
Lesotho,LSO,Mosotho,,,,
Liberia,LBR,Liberian,,,,
Libya,LBY,Libyan,,,,
Liechtenstein,LIE,Liechtensteiner,,,,
Lithuania,LTU,Lithuanian,Lithuanian,,,
Luxembourg,LUX,Luxembourger,,,,
Madagascar,MDG,Malagasy,,,Madagascar,
Malawi,MWI,Malawian,,,,
Malaysia,MYS,Malaysian,,,,
Maldives,MDV,Maldivian,,,,
Mali,MLI,Malian,,,,
Malta,MLT,Maltese,,,,
Marshall Islands,MHL,Marshallese,,,,
Mauritania,MRT,Mauritanian,,,,
Mauritius,MUS,Mauritian,Mauritian,,,
Mexico,MEX,Mexican,Mexican,,,
Micronesia,FSM,Micronesian,,,,
Moldova,MDA,Moldovan,,,,
Monaco,MCO,Monegasque,,,,
Mongolia,MNG,Mongolian,,,,
Montenegro,MNE,Montenegrin,,,,
Morocco,MAR,Moroccan,Moroccan,,Morocco,
Mozambique,MOZ,Mozambican,,,,
Myanmar,MMR,Burmese,,,,
Namibia,NAM,Namibian,,,,
Nauru,NRU,Nauruan,,,,
Nepal,NPL,Nepali,,,,
Netherlands,NLD,Dutch,Dutch,Arubian,Netherlands,
New Zealand,NZL,New Zealander,New Zealander,,New Zealand,
Nicaragua,NIC,Nicaraguan,,,,
Niger,NER,Nigerien,,,,
Nigeria,NGA,Nigerian,,,,
North Korea,PRK,North Korean,,,,
North Macedonia,MKD,Macedonian,,,,
Norway,NOR,Norwegian,Norwegian,,Norway,
Oman,OMN,Omani,,,,
Pakistan,PAK,Pakistani,,,,
Palau,PLW,Palauan,,,,
Palestine,PSE,Palestinian,,,,
Panama,PAN,Panamanian,,,,
Papua New Guinea,PNG,Papua New Guinean,,,,
Paraguay,PRY,Paraguayan,,,,
Peru,PER,Peruvian,Peruvian,,Peru,
Philippines,PHL,Filipino,Philippino,,Philippines,
Poland,POL,Polish,Polish,,Poland,
Portugal,PRT,Portuguese,Portuguese,,,
Qatar,QAT,Qatari,,,,
Romania,ROU,Romanian,,,,
Russia,RUS,Russian,Russian,,,
Rwanda,RWA,Rwandan,,,,
Saint Kitts and Nevis,KNA,Kittitian/Nevisian,,,,
Saint Lucia,LCA,Saint Lucian,,,,
Saint Vincent and the Grenadines,VCT,Vincentian,,,,
Samoa,WSM,Samoan,,,,
San Marino,SMR,Sammarinese,,,,
Sao Tome and Principe,STP,Sao Tomean,,,,
Saudi Arabia,SAU,Saudi,,,,
Senegal,SEN,Senegalese,,,,
Serbia,SRB,Serbian,,,,
Seychelles,SYC,Seychellois,,,,
Sierra Leone,SLE,Sierra Leonean,,,,
Singapore,SGP,Singaporean,Singaporean,,Singapore,
Slovakia,SVK,Slovak,Slovakian,,,
Slovenia,SVN,Slovene,Slovenian,,,
Solomon Islands,SLB,Solomon Islander,,,,
Somalia,SOM,Somali,,,,
South Africa,ZAF,South African,,,South Africa,
South Korea,KOR,South Korean,Korean,,,
South Sudan,SSD,South Sudanese,,,,
Spain,ESP,Spanish,Spanish,Catalan,Spain,
Sri Lanka,LKA,Sri Lankan,,,,
Sudan,SDN,Sudanese,,,,
Suriname,SUR,Surinamese,,,,
Sweden,SWE,Swedish,Swedish,,,
Switzerland,CHE,Swiss,Swiss,,Switzerland,
Syria,SYR,Syrian,,,,
Taiwan,TWN,Taiwanese,,,,
Tajikistan,TJK,Tajik,,,,
Tanzania,TZA,Tanzanian,,,,
Thailand,THA,Thai,Thai,,,
Togo,TGO,Togolese,,,,
Tonga,TON,Tongan,,,,
Trinidad and Tobago,TTO,Trinidadian/Tobagonian,,,,
Tunisia,TUN,Tunisian,,,,
Turkey,TUR,Turkish,Turkish,,,
Turkmenistan,TKM,Turkmen,,,,
Tuvalu,TUV,Tuvaluan,,,,
Uganda,UGA,Ugandan,,,,
Ukraine,UKR,Ukrainian,Ukrainian,,,
United Arab Emirates,ARE,Emirati,,,,
United Kingdom,GBR,British,British,,United Kingdom of Great Britain and Northern Ireland,
United States,USA,American,American,,United States of America,
Uruguay,URY,Uruguayan,Uruguay,,Uruguay,
Uzbekistan,UZB,Uzbek,,,,
Vanuatu,VUT,Vanuatuan,,,,
Vatican City,VAT,Vatican,,,,
Venezuela,VEN,Venezuelan,Venezuelan,,,
Vietnam,VNM,Vietnamese,,,,
Yemen,YEM,Yemeni,,,,
Zambia,ZMB,Zambian,,,,
Zimbabwe,ZWE,Zimbabwean,,,,
Western Sahara,ESH,Sahrawi,,,,
Bermuda,BMU,Bermudian,,,,
British Indian Ocean Territory,IOT,,,,,
Cayman Islands,CYM,Caymanian,,,,
Cook Islands,COK,Cook Islander,,,,
Faroe Islands,FRO,Faroese,,,,
French Guiana,GUF,French Guianese,,,,
French Polynesia,PYF,French Polynesian,,,,
Gibraltar,GIB,Gibraltarian,,,,
Greenland,GRL,Greenlandic,,,,
Guadeloupe,GLP,Guadeloupean,,,Guadeloupe,
Guam,GUM,Guamanian,,,,
Martinique,MTQ,Martinican,,,,
Montserrat,MSR,Montserratian,,,,
New Caledonia,NCL,New Caledonian,,,New Caledonia,
Niue,NIU,Niuean,,,,
Norfolk Island,NFK,Norfolk Islander,,,,
Northern Mariana Islands,MNP,Northern Marianan,,,,
Puerto Rico,PRI,Puerto Rican,Puerto Rican ,,Puerto Rico,
Réunion,REU,Reunionese,,,,
Saint Barthélemy,BLM,Saint Barthélemy,,,,
Saint Martin,MAF,Saint Martinois,,,,
Saint Pierre and Miquelon,SPM,Saint-Pierrais,,,,
Sint Maarten,SXM,Sint Maartener,,,,
Turks and Caicos Islands,TCA,Turks and Caicos Islander,,,,
US Virgin Islands,VIR,US Virgin Islander,,,,
Mayotte,MYT,Mahoran,,,,
"Bonaire, Sint Eustatius and Saba",BES,Bonairean,,,,
Pitcairn Islands,PCN,Pitcairn Islander,,,,
South Georgia and the South Sandwich Islands,SGS,South Georgian,,,,
"Saint Helena, Ascension and Tristan da Cunha",SHN,Saint Helenian,,,,
French Southern and Antarctic Lands,ATF,French Southern and Antarctic Lands resident,,,,
Heard Island and McDonald Islands,HMD,,,,,
Bouvet Island,BVT,Bouvet Islander,,,,
Svalbard and Jan Mayen,SJM,Svalbardian,,,,
Christmas Island,CXR,Christmas Islander,,,,
Cocos (Keeling) Islands,CCK,Cocos Islander,,,,
