PWA,event_id,eventDivisionId,heat_id,athleteId,result_total,winBy,needs,place
PWA,363,931,1761_18a,Richter_G-6,,,,0
PWA,363,931,1761_18a,Morisio_I-676,,,,0
PWA,363,931,1761_18b,Spangenberg_G-141,,,,0
PWA,363,931,1761_18b,Salmonn_G-901,,,,0
PWA,363,931,1761_19a,Shamgar_ISR-13,,,,0
PWA,363,931,1761_19a,Ruenes_F-85,,,,0
PWA,363,931,1761_19b,Ferraro_I-505,,,,0
PWA,363,931,1761_19b,Albert_NC-21,,,,0
PWA,363,931,1761_20a,van Dam Sanchidrian_E-51,,,,0
PWA,363,931,1761_20a,Warchol_POL-111,,,,0
PWA,363,931,1761_20b,Thule_DEN-134,,,,0
PWA,363,931,1761_20b,Friedl Morales_E-255,,,,0
PWA,363,931,1761_21a,Bjørnaa_D-36,,,,0
PWA,363,931,1761_21a,Jamaer_G-208,,,,0
PWA,363,931,1761_21b,Schmuth_G-878,,,,0
PWA,363,931,1761_21b,Flechet_F-67,,,,0
PWA,363,931,1761_22a,Traversa_F-3,,,,0
PWA,363,931,1761_22a,None_None,,,,
PWA,363,931,1761_22b,Noireaux_HI-101,,,,0
PWA,363,931,1761_22b,None_None,,,,
PWA,363,931,1761_23a,Sugi_J-7,,,,0
PWA,363,931,1761_23a,None_None,,,,
PWA,363,931,1761_23b,Denel_FRA-41,,,,0
PWA,363,931,1761_23b,None_None,,,,
PWA,363,931,1761_24a,Flechet_F-47,,,,0
PWA,363,931,1761_24a,None_None,,,,
PWA,363,931,1761_24b,Dunkerbeck Morales_E-11,,,,0
PWA,363,931,1761_24b,None_None,,,,
PWA,363,931,1761_25a,Kolberg_G-45,,,,0
PWA,363,931,1761_25a,None_None,,,,
PWA,363,931,1761_25b,Van der Eyken_B-35,,,,0
PWA,363,931,1761_25b,None_None,,,,
PWA,363,931,1761_26a,None_None,,,,
PWA,363,931,1761_26a,None_None,,,,
PWA,363,931,1761_26b,None_None,,,,
PWA,363,931,1761_26b,None_None,,,,
PWA,363,931,1761_27a,None_None,,,,
PWA,363,931,1761_27a,None_None,,,,
PWA,363,931,1761_27b,None_None,,,,
PWA,363,931,1761_27b,None_None,,,,
PWA,363,931,1761_28a,Swift_K-89,,,,0
PWA,363,931,1761_28a,None_None,,,,
PWA,363,931,1761_28b,Köster_G-44,,,,0
PWA,363,931,1761_28b,None_None,,,,
PWA,363,931,1761_29a,Gil Gherardi_E-959,,,,0
PWA,363,931,1761_29a,None_None,,,,
PWA,363,931,1761_29b,Chapuis_E-99,,,,0
PWA,363,931,1761_29b,None_None,,,,
PWA,363,931,1761_30a,None_None,,,,
PWA,363,931,1761_30a,None_None,,,,
PWA,363,931,1761_30b,None_None,,,,
PWA,363,931,1761_30b,None_None,,,,
PWA,363,931,1761_31a,None_None,,,,
PWA,363,931,1761_31a,None_None,,,,
PWA,363,931,1761_32a,None_None,,,,
PWA,363,931,1761_32a,None_None,,,,
PWA,363,931,1761_33a,None_None,,,,
PWA,363,931,1761_33a,None_None,,,,
PWA,363,931,1761_34a,None_None,,,,
PWA,363,931,1761_34a,None_None,,,,
PWA,363,931,1761_35a,None_None,,,,
PWA,363,931,1761_35a,None_None,,,,
PWA,363,931,1761_36a,None_None,,,,
PWA,363,931,1761_36a,None_None,,,,
